time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.570489	1.570796	7.412000	-5.880000	1.000000
0.300000	-1.750000	192.311689	1.570796	7.412000	0.000000	4.000000
0.400000	-1.750000	193.052889	1.570796	7.412000	0.000000	4.000000
0.500000	-1.750000	193.794089	1.570796	7.412000	0.000000	4.000000
0.600000	-1.750000	194.535289	1.570796	7.412000	0.000000	4.000000
0.700000	-1.749972	195.274565	1.570528	7.311406	-2.696667	7.000000
0.800000	-1.749023	195.992182	1.568135	7.041741	-2.696654	7.000000
0.900000	-1.746115	196.682842	1.565050	6.772077	-2.696642	7.000000
1.000000	-1.741462	197.346476	1.562717	6.502413	-2.696635	7.000000
1.100000	-1.735956	197.983130	1.561843	6.232752	-2.696609	7.000000
1.200000	-1.730499	198.611306	1.562652	6.330752	0.980000	2.000000
1.300000	-1.726232	199.214934	1.565050	5.742752	-5.880000	1.000000
1.400000	-1.723971	199.759531	1.568352	5.154752	-5.880000	1.000000
1.500000	-1.723616	200.245438	1.571795	4.566752	-5.880000	1.000000
1.600000	-1.724698	200.672340	1.574797	3.978752	-5.880000	1.000000
1.700000	-1.726884	201.084998	1.577285	4.272752	2.940000	0.000000
1.800000	-1.729949	201.497459	1.579004	3.978752	-2.940000	3.000000
1.900000	-1.733230	201.880469	1.579520	3.684752	-2.940000	3.000000
2.000000	-1.736231	202.238458	1.578616	3.479388	-2.053644	7.000000
2.100000	-1.738490	202.575896	1.576145	3.274038	-2.053502	7.000000
2.200000	-1.739575	202.892875	1.572081	3.068705	-2.053326	7.000000
2.300000	-1.739167	203.189438	1.566508	2.863386	-2.053188	7.000000
2.400000	-1.737040	203.465240	1.559568	2.658072	-2.053146	7.000000
2.500000	-1.733136	203.720331	1.551485	2.452788	-2.052835	7.000000
2.600000	-1.727537	203.954815	1.542522	2.247563	-2.052250	7.000000
2.700000	-1.720450	204.168885	1.532969	2.042415	-2.051479	7.000000
2.800000	-1.712167	204.362527	1.523120	1.837330	-2.050855	7.000000
2.900000	-1.703038	204.535027	1.513258	1.632286	-2.050439	7.000000
3.000000	-1.693513	204.686464	1.503668	1.427474	-2.048120	7.000000
3.100000	-1.684072	204.817113	1.494723	1.223175	-2.042991	7.000000
3.200000	-1.675161	204.927759	1.486765	1.019732	-2.034432	7.000000
3.300000	-1.667204	205.018233	1.480059	0.817192	-2.025397	7.000000
3.400000	-1.660889	205.084541	1.474461	0.615902	-2.012901	7.000000
3.500000	-1.657721	205.115675	1.471253	0.424844	-1.910580	7.000000
3.600000	-1.651384	205.177943	1.464835	0.042728	-1.910580	7.000000
3.700000	-1.650932	205.182192	1.464835	0.042728	0.000000	4.000000
3.800000	-1.650480	205.186441	1.464835	0.042728	0.000000	4.000000
3.900000	-1.650028	205.190689	1.464835	0.042728	0.000000	4.000000
4.000000	-1.649576	205.194938	1.464835	0.042728	0.000000	4.000000
4.100000	-1.649124	205.199187	1.464835	0.042728	0.000000	4.000000
4.200000	-1.648672	205.203436	1.464835	0.042728	0.000000	4.000000
4.300000	-1.648220	205.207685	1.464835	0.042728	0.000000	4.000000
4.400000	-1.647768	205.211934	1.464835	0.042728	0.000000	4.000000
4.500000	-1.647317	205.216182	1.464835	0.042728	0.000000	4.000000
4.600000	-1.642847	205.256471	1.461158	0.336728	2.940000	0.000000
4.700000	-1.636158	205.314799	1.455832	0.630728	2.940000	0.000000
4.800000	-1.626480	205.395400	1.448468	0.924728	2.940000	0.000000
4.900000	-1.612773	205.502308	1.438691	1.218728	2.940000	0.000000
5.000000	-1.593628	205.639013	1.426167	1.512728	2.940000	0.000000
5.100000	-1.568209	205.804064	1.411014	1.806728	2.940000	0.000000
5.200000	-1.535370	205.996807	1.393264	2.100728	2.940000	0.000000
5.300000	-1.493242	206.218071	1.372800	2.394728	2.940000	0.000000
5.400000	-1.440149	206.467145	1.349628	2.688728	2.940000	0.000000
5.500000	-1.376650	206.733567	1.324646	2.786728	0.980000	2.000000
5.600000	-1.303907	207.007724	1.298646	2.884728	0.980000	2.000000
5.700000	-1.221191	207.289219	1.271492	2.982728	0.980000	2.000000
5.800000	-1.127674	207.577611	1.242963	3.080728	0.980000	2.000000
5.900000	-1.022390	207.872385	1.212757	3.178728	0.980000	2.000000
6.000000	-0.904342	208.172863	1.180507	3.276728	0.980000	2.000000
6.100000	-0.772399	208.478221	1.145798	3.374728	0.980000	2.000000
6.200000	-0.625292	208.787460	1.108228	3.472728	0.980000	2.000000
6.300000	-0.461641	209.099373	1.067473	3.570728	0.980000	2.000000
6.400000	-0.279996	209.412525	1.023311	3.668728	0.980000	2.000000
6.500000	-0.078893	209.725244	0.975636	3.766728	0.980000	2.000000
6.600000	0.143076	210.035610	0.924466	3.864728	0.980000	2.000000
6.700000	0.387189	210.341481	0.869962	3.962728	0.980000	2.000000
6.800000	0.654534	210.640511	0.812422	4.060728	0.980000	2.000000
6.900000	0.946018	210.930165	0.752283	4.158728	0.980000	2.000000
7.000000	1.262074	211.207886	0.690105	4.256728	0.980000	2.000000
7.100000	1.602749	211.471148	0.626504	4.354728	0.980000	2.000000
7.200000	1.967703	211.717542	0.562142	4.452728	0.980000	2.000000
7.300000	2.356224	211.944870	0.497721	4.550728	0.980000	2.000000
