time	total_cost	acumulative_cost	dynamic_cost	static_cost	length_path	lat_g	penalty_lat_g	penalty_speed	penalty_acceleration	penalty_deceleration	penalty_curve	penalty_low_speed	dynamic_obstacle_lethal_counter	dynamic_obstacle_high_counter
0.0	522.668308	2.710784	3102.469504	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.1	516.674657	0.634427	3065.244503	2384.722251	30.000000	0.000000	1	0	1	0	0	0	0	0
0.2	997.768305	548.138733	3135.230845	1874.833062	39.000000	0.000000	1	0	1	0	1	0	0	0
0.3	988.552882	538.023277	3135.230321	1874.833062	38.000000	0.000000	1	0	1	0	1	0	0	0
0.4	986.365161	542.415020	3066.146434	1874.833062	38.000000	0.000000	1	0	1	0	0	0	0	0
0.5	-10.074968	2.021710	0.855384	15.404745	17.000000	0.000000	0	0	0	0	0	0	0	0
0.6	987.824095	542.092245	3065.131545	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.7	977.632757	532.000903	3065.131456	1874.833062	36.000000	0.000000	1	0	1	0	0	0	0	0
0.8	1134.822720	632.426062	3065.953892	2449.848484	35.000000	0.000000	1	0	1	0	0	0	0	0
0.9	724.056538	0.000000	3063.658569	4605.776895	35.000000	0.000000	1	0	1	0	0	0	0	0
1.0	-8.083448	0.000000	2.532794	27.783263	14.000000	0.000000	0	0	0	0	0	0	0	0
1.1	-18.223104	0.000000	2.527474	26.883263	14.000000	0.000000	0	0	0	0	0	0	0	0
1.2	-17.352933	0.000000	2.163601	26.278184	13.000000	0.000000	0	0	0	0	0	0	0	0
1.3	29597.292349	29137.196823	3066.727728	1874.833062	32.000000	0.000000	1	0	1	0	0	0	0	0
1.4	-6.855188	0.000000	2.095919	23.883263	12.000000	0.000000	0	0	0	0	0	0	0	0
1.5	970.771979	0.000000	10002.572459	21.633263	11.000000	0.000000	0	0	0	0	0	0	0	1
1.6	-16.361609	0.000000	2.571923	19.678184	11.000000	0.000000	0	0	0	0	0	0	0	0
1.7	-16.689533	0.000000	2.568763	17.583263	11.000000	0.000000	0	0	0	0	0	1	0	0
1.8	19932.065427	19425.733949	3053.830458	2449.848484	30.000000	0.000000	1	0	1	0	0	0	0	0
1.9	-6.360382	0.000000	2.955674	13.828184	10.000000	0.000000	0	0	0	0	0	0	0	0
2.0	-15.662166	0.000000	2.680409	11.733292	9.000000	0.000000	0	0	0	0	0	0	0	0
2.1	-15.938178	0.000000	2.197919	9.934303	9.000000	0.000000	0	0	0	0	0	0	0	0
2.2	-16.219333	0.000000	1.629899	8.285648	9.000000	0.000000	0	0	0	0	0	0	0	0
2.3	32552.367530	32097.558518	3063.626434	1957.533612	38.000000	0.000000	1	0	1	0	0	0	0	0
2.4	-5.935054	0.000000	0.939403	5.436402	8.000000	0.000000	0	0	0	0	0	0	0	0
2.5	-16.240345	0.000000	0.504813	3.784099	8.000000	0.000000	0	0	0	0	0	0	0	0
2.6	-15.387198	0.000000	0.467832	3.195889	7.000000	0.000000	0	0	0	0	0	0	0	0
2.7	-15.540310	0.000000	0.468171	2.820926	7.000000	0.000000	0	0	0	0	0	0	0	0
2.8	-15.686586	0.000000	0.465508	2.291158	7.000000	0.000000	0	0	0	0	0	0	0	0
2.9	-15.831999	0.000000	0.462138	1.904397	7.000000	0.000000	0	0	0	0	0	0	0	0
3.0	-14.971554	0.000000	0.457019	1.356275	6.000000	0.000000	0	0	0	0	0	0	0	0
3.1	-15.116831	0.000000	0.454653	0.874375	6.000000	0.000000	0	0	0	0	0	0	0	0
3.2	-15.262909	0.000000	0.455789	0.451422	6.000000	0.000000	0	0	0	0	0	0	0	0
3.3	-15.370864	0.000000	0.426192	0.329765	6.000000	0.000000	0	0	0	0	0	0	0	0
3.4	-15.477210	0.000000	0.344603	0.392322	6.000000	0.000000	0	0	0	0	0	0	0	0
3.5	-15.594389	0.000000	0.239375	0.328881	6.000000	0.000000	0	0	0	0	0	0	0	0
3.6	-15.692793	0.000000	0.190634	0.209479	6.000000	0.000000	0	0	0	0	0	0	0	0
3.7	-15.089646	0.000000	20.082307	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	0
3.9	-5.810324	0.000000	20.035298	0.238804	6.000000	0.000000	0	0	0	0	1	0	0	0
4.8	2291.267022	2328.075238	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
4.9	290.064569	326.974213	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.0	290.525528	327.535844	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.1	290.577719	327.688237	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.2	290.328889	327.539473	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.3	289.538582	326.849282	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.4	289.896470	327.307247	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.5	289.748982	327.259761	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.6	289.060326	326.671152	20.000000	15.297885	35.000000	0.000000	0	0	1	0	0	0	0	0
5.7	273.565682	309.055528	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.8	261.301803	296.891681	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
5.9	261.316728	297.006624	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
6.0	261.122162	296.912061	20.000000	15.297885	34.000000	0.000000	0	0	1	0	0	0	0	0
6.1	261.648037	296.537946	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.2	260.842212	295.832144	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.3	262.669263	297.759226	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.4	251.884441	286.434896	20.000000	15.297885	33.000000	0.000000	0	0	1	0	0	0	0	0
6.5	254.246803	287.897289	20.000000	15.297885	32.000000	0.000000	0	0	1	0	0	0	0	0
