time	x	y	direction	velocity	acceleration	accelerationProfile
0.000000	-1.750000	190.000000	1.570796	8.000000	0.000000	4.000000
0.100000	-1.750000	190.800000	1.570796	8.000000	0.000000	4.000000
0.200000	-1.750000	191.570489	1.570796	7.412000	-5.880000	1.000000
0.300000	-1.750000	192.282223	1.570796	6.824000	-5.880000	1.000000
0.400000	-1.750000	192.964623	1.570796	6.824000	0.000000	4.000000
0.500000	-1.750000	193.632248	1.570796	6.530000	-2.940000	3.000000
0.600000	-1.750000	194.270458	1.570796	6.236000	-2.940000	3.000000
0.700000	-1.750000	194.879325	1.570796	5.942000	-2.940000	3.000000
0.800000	-1.750217	195.471268	1.572108	5.959985	0.980000	2.000000
0.900000	-1.752343	196.072163	1.577111	6.057985	0.980000	2.000000
1.000000	-1.758567	196.682840	1.585283	6.155985	0.980000	2.000000
1.100000	-1.770778	197.303236	1.595942	6.253985	0.980000	2.000000
1.200000	-1.790501	197.933247	1.608371	6.351985	0.980000	2.000000
1.300000	-1.818850	198.572741	1.621812	6.449985	0.980000	2.000000
1.400000	-1.856468	199.221573	1.635460	6.547985	0.980000	2.000000
1.500000	-1.903473	199.879616	1.648478	6.645985	0.980000	2.000000
1.600000	-1.959408	200.546793	1.660005	6.743985	0.980000	2.000000
1.700000	-2.023206	201.223104	1.669192	6.841985	0.980000	2.000000
1.800000	-2.093169	201.908650	1.675183	6.939985	0.980000	2.000000
1.900000	-2.166917	202.603648	1.677107	7.037985	0.980000	2.000000
2.000000	-2.241365	203.308432	1.674106	7.135985	0.980000	2.000000
2.100000	-2.312207	204.018503	1.665410	7.135985	0.000000	4.000000
2.200000	-2.374707	204.729353	1.650587	7.135985	0.000000	4.000000
2.300000	-2.424394	205.441205	1.629358	7.135985	0.000000	4.000000
2.400000	-2.456722	206.158965	1.601199	7.233985	0.980000	2.000000
2.500000	-2.466215	206.887178	1.565380	7.331985	0.980000	2.000000
2.600000	-2.446365	207.624967	1.521308	7.429985	0.980000	2.000000
2.700000	-2.390087	208.370674	1.468524	7.527985	0.980000	2.000000
2.800000	-2.289904	209.121612	1.406703	7.625985	0.980000	2.000000
2.900000	-2.138142	209.873800	1.335588	7.723985	0.980000	2.000000
3.000000	-1.927192	210.621712	1.255031	7.821985	0.980000	2.000000
3.100000	-1.649891	211.358059	1.165045	7.919985	0.980000	2.000000
